"ID","PopularFoodDislike","DressColor","Floaters","Animal","ChocolateOrVanilla","RightLeftHanded","RotaryPhone","ThermostatTemperature","NumberFrom1to100","MovieStar","CanRollTongue","CellPhoneType","FavoriteNumberFrom1to5","FavoriteTeam","GrossedOutByFoodAnswer","ThrowingOutSocks","OddEvenSection","SectionDay","Activity_Basketball","Activity_Ski","Activity_HorseRiding","Activity_StickShift","Activity_Rubiks","Activity_Unicycle","Activity_Stilts","Activity_Juggle","Activity_IceSkate","Tried_Snails","Tried_FrogLegs","Tried_Natto","Tried_Aligator","Tried_Durian","Tried_ThousandYearOldEgg","Dislike_Coffee","Dislike_Yogurt","Dislike_Cilantro","Dislike_Tomatoes","Dislike_CarbonatedDrinks","Dislike_Eggs","Dislike_ChocolateIceCream","Follow_Football","Follow_Soccer","Follow_Basketball","Follow_Baseball","Follow_Cricket"
"164","Pineapple pizza","Blue and black","Yes, occasionally","Turtle","Chocolate","Ambidextrous","Not 100% sure","Cooler","17","Jim Carrey ","Yes","iPhone","4","Trail Blazers ","Yes, one or two","I did the throwing out thing, but didn't talk to everyone about it","Even","Tuesday","0","1","1","0","0","0","0","1","1","0","1","0","1","0","1","0","0","1","0","0","0","0","0","0","1","0","0"
"9410","fish","White and gold","Yes, occasionally","Lion","Vanilla","Right-handed","Yes, and I have","Cooler","96","Scarlet Johansen","Yes","iPhone","4","Mets Nets Giants Rangers","Yes, one or two","I did the throwing out thing, but didn't talk to everyone about it","Odd","Thursday","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0"
"9349","Dim sum","Blue and black","Yes, occasionally","Seals","Vanilla","Right-handed","Yes, I believe so","Warmer","42","Shia Labeouf","Yes","iPhone","4","","Yes, one or two","No","Odd","Thursday","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0"
"5639","chips","White and gold","Yes, occasionally","elephant","Chocolate","Right-handed","Not 100% sure","Cooler","69","Toby Mcguire","Yes","iPhone","1","Knicks","No","No","Even","Thursday","0","1","0","1","0","0","0","0","1","1","0","0","1","1","1","0","0","1","0","0","0","0","0","0","1","0","0"
"7802","Bacon","White and gold","No","Koala Bear ","Vanilla","Right-handed","Not 100% sure","Cooler","57","Leonardo DiCaprio","Yes","iPhone","1","New York Giants","Yes, most of them","No","Even","Thursday","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","1","1","0"
"3961","Cheeseburger","Blue and black","I'm not sure what things you mean","Cat","Vanilla","Right-handed","Yes, I believe so","Warmer","22","Leo Decaprio","No","iPhone","2","Mets","Yes, one or two","No","Odd","Tuesday","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0"
"3238","I do not like mac n cheese","White and gold","Yes, constantly","Dog","Vanilla","Ambidextrous","Not 100% sure","Cooler","21","Nicolas Cage ","Yes","iPhone","5","","Yes, one or two","Yes","Even","Thursday","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"9238","Pancakes","Blue and black","Yes, occasionally","Lion","Chocolate","Right-handed","Yes, and I have","Cooler","47","Jackie Chan","Yes","Android","1","","No","I did the throwing out thing, but didn't talk to everyone about it","Even","Thursday","0","0","1","1","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1"
"2861","anything seafood","White and gold","Yes, occasionally","dolphin","Chocolate","Right-handed","Yes, I believe so","Warmer","33","Tom Holland","No","iPhone","3","New York Knicks","Yes, one or two","No","Even","Thursday","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0"
"5502","Eggs","White and gold","Yes, constantly","Grizzly Bear","Chocolate","Right-handed","Yes, I believe so","Cooler","100.01","Leonardo DiCaprio","No","Android","3","Dallas Mavericks ","Yes, most of them","No","Even","Thursday","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0"
